date       ,state   ,district ,pincode ,bio_age_5_17 ,bio_age_17_
25-11-2025 ,Haryana ,Hisar    , 125005 ,           4 ,          3
25-11-2025 ,Haryana ,Hisar    , 125042 ,           6 ,          8
25-11-2025 ,Haryana ,Hisar    , 125044 ,           5 ,          4
25-11-2025 ,Haryana ,Hisar    , 125048 ,           2 ,          1
25-11-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
25-11-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          1
25-11-2025 ,Haryana ,Hisar    , 125113 ,           7 ,          8
25-11-2025 ,Haryana ,Hisar    , 125121 ,          17 ,         28
21-11-2025 ,Haryana ,Hisar    , 125001 ,         128 ,         84
21-11-2025 ,Haryana ,Hisar    , 125038 ,           2 ,          8
21-11-2025 ,Haryana ,Hisar    , 125049 ,          10 ,          6
21-11-2025 ,Haryana ,Hisar    , 125112 ,           3 ,          3
22-11-2025 ,Haryana ,Hisar    , 125001 ,          43 ,         40
22-11-2025 ,Haryana ,Hisar    , 125038 ,           2 ,          5
22-11-2025 ,Haryana ,Hisar    , 125044 ,           8 ,          5
20-11-2025 ,Haryana ,Hisar    , 125037 ,           4 ,          4
20-11-2025 ,Haryana ,Hisar    , 125039 ,          43 ,         38
20-11-2025 ,Haryana ,Hisar    , 125042 ,           3 ,          9
20-11-2025 ,Haryana ,Hisar    , 125049 ,           3 ,         11
20-11-2025 ,Haryana ,Hisar    , 125052 ,          31 ,         32
20-11-2025 ,Haryana ,Hisar    , 125055 ,           0 ,          1
16-11-2025 ,Haryana ,Hisar    , 125004 ,           1 ,          0
16-11-2025 ,Haryana ,Hisar    , 125005 ,           1 ,          0
16-11-2025 ,Haryana ,Hisar    , 125033 ,           3 ,          4
16-11-2025 ,Haryana ,Hisar    , 125042 ,           4 ,          0
16-11-2025 ,Haryana ,Hisar    , 125044 ,           3 ,          5
19-11-2025 ,Haryana ,Hisar    , 125038 ,           2 ,          5
19-11-2025 ,Haryana ,Hisar    , 125044 ,           3 ,          6
19-11-2025 ,Haryana ,Hisar    , 125047 ,          13 ,          6
19-11-2025 ,Haryana ,Hisar    , 125113 ,          10 ,         12
19-11-2025 ,Haryana ,Hisar    , 125121 ,          46 ,         43
18-11-2025 ,Haryana ,Hisar    , 125006 ,           2 ,          2
18-11-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
17-11-2025 ,Haryana ,Hisar    , 125039 ,          28 ,         44
17-11-2025 ,Haryana ,Hisar    , 125050 ,           4 ,          2
17-11-2025 ,Haryana ,Hisar    , 125112 ,          10 ,         11
27-11-2025 ,Haryana ,Hisar    , 125004 ,           2 ,          6
